1,Brasil,3
2,Brasil,4
3,Japao,4
4,Argentina,4
5,Italia,3
6,Italia,4
7,EUA,3
8,EUA,4
9,China,4
10,Coreia do Sul,4
11,Rep. Dominicana,4
12,Quenia,4
13,Russia,4
14,Servia,4
15,Turquia,4
16,Canada,3
17,Iran,3
18,Polonia,3
19,Venezuela,3
20,Japao,3
21,Brasil,5
22,Argentina,3
23,Franca,3
24,Tunisia,3
25,Russia,3
26,Eslovenia,1
27,EUA,1
28,Australia,1
29,Franca,1
30,Iran,1
31,Rep. Tcheca,1
32,Italia,1
33,Alemanha,1
34,Nigeria,1
35,Espanha,1
36,Japao,1
37,Argentina,1
38,Espanha,2
39,Servia,2
40,Canada,2
41,Coreia do Sul,2
42,EUA,2
43,Japao,2
44,Franca,2
45,Nigeria,2
46,China,2
47,Belgica,2
48,Australia,2
49,Porto Rico,2
50,Japao,5
51,Mexico,5
52,Franca,5
53,Africa do Sul,5
54,Coreia do Sul,5
55,Nova Zelandia,5
56,Romenia,5
57,Honduras,5
58,Espanha,5
59,Egito,5
60,Argentina,5
61,Australia,5
62,Costa do Marfim,5
63,Alemanha,5
64,Arabia Saudita,5
65,Inglaterra,6
66,Canada,6
67,Japao,6
68,Chile,6
69,Holanda,6
70,Brasil,6
71,Zambia,6
72,China,6
73,Suecia,6
74,EUA,6
75,Australia,6
76,Nova Zelandia,6
